hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,373.03649742117994,36.94725792436098,21.106063028849448,-109.82962590064166
1,359.28454281783854,31.00093348479842,20.994612850850263,-110.02081953369931
2,350.2506684769582,27.072607417000732,20.919331276366105,-110.16739012292335
3,347.25345443746323,25.71184630685878,20.884030535581022,-110.27484133718183
4,347.17199927426503,25.686251594555777,20.885912185032684,-110.26517552901046
5,512.1973680936577,97.5812309077729,22.614815460169456,-107.16681547452471
6,642.8237160930671,156.40201559288968,25.264267265951936,-101.80715681706283
7,870.8103673674202,253.7135392456518,29.19136571947353,-97.53468915805693
8,1000.1725353276453,306.64360647727176,32.134645845750654,-96.4032298695869
9,939.4246224556967,280.8105275320931,32.095219463267476,-96.6405483968268
10,799.0087190823691,223.7503801794884,32.176315305431764,-95.3383521923672
11,820.9050272902144,234.27219282129144,33.76574646466463,-93.10923020002946
12,728.3323407851611,195.7224433111063,32.5109245689324,-94.04707759619237
13,771.5877544801275,214.1510434364464,33.43719623740063,-93.05170043026179
14,638.0459117901916,157.50115437315003,31.0630909202313,-95.55471020327576
15,578.3386587301223,131.55916886277203,29.64049558721522,-97.35372008023023
16,605.8708449468367,140.50926635734652,27.445074762392377,-100.78023564426924
17,732.5130956266577,193.3711396264052,27.01735974233299,-101.02626592865546
18,814.9312267545922,230.5989617288622,28.111026110973608,-98.19642511345492
19,687.2508292868279,174.4733916807488,25.430759005838773,-102.44898915544266
20,530.7689750183123,105.73628986712326,22.8704751677374,-106.70946437427547
21,445.6185368098758,68.47637839079037,21.803405287484242,-108.60180459824022
22,440.1222586616379,65.9525002416265,21.715026396130114,-108.84177694452804
23,421.82493886029863,58.02211558283277,21.53200317933093,-109.14352294681692
