PAC,long,lat
62921,-53.55228449643232,-27.849074320623345
62911,-53.55321521471035,-27.8489398000317
8001,-53.554115491836455,-27.84880583701971
71861,-53.586207245967614,-27.684864768194473
71851,-53.58641746249583,-27.686034454326546
71841,-53.586628373300755,-27.687103534200673
71831,-53.58674992836649,-27.68763560819673
71821,-53.58692465404948,-27.688597744290405
71811,-53.58705375172923,-27.68934419417917
71801,-53.58802666170101,-27.69056792776763
71791,-53.58882046539213,-27.691599902513474
71781,-53.58918568187369,-27.69206519645161
71771,-53.5897808550024,-27.69280292381586
71751,-53.59061906182018,-27.69387626197988
71741,-53.59096258575471,-27.694341685420397
553961,-53.586054054550914,-27.68386097730223
780431,-53.58609336301822,-27.684291525033814
780421,-53.586324256758985,-27.68548719707644
780411,-53.58650216334411,-27.686584611890282
780401,-53.587586192648644,-27.69000190256571
780391,-53.588454124758016,-27.69113152390065
780381,-53.590261818727924,-27.69342549299205
780441,-53.58605234134245,-27.683841168834817
536711,-53.59141061091094,-27.694856598553145
71871,-53.586055018624165,-27.683875214469538
824401,-53.578917718278035,-27.82184927652287
824391,-53.57963809052541,-27.821495669389606
824431,-53.57850146886767,-27.824168307021694
824421,-53.57866804849158,-27.823397664470576
824411,-53.578813070466765,-27.82261668691052
790091,-53.590041969561184,-27.64560975298764
790081,-53.59005890109739,-27.645607225892718
790051,-53.58832476627492,-27.644903836442836
790041,-53.58911240331474,-27.645587290620938
790031,-53.58981768673681,-27.645645974981733
790021,-53.590032696651576,-27.645610954481924
21971,-53.725027987351666,-27.628523537031583
21851,-53.72705004642245,-27.63408637988249
30731,-53.64705666253491,-27.675903470968365
48561,-53.64762038727099,-27.67742646745745
48551,-53.647306828747105,-27.676611442464036
48541,-53.64705666253491,-27.675903470968365
30771,-53.643856257760035,-27.674304529430458
30761,-53.64442293766842,-27.674690685726546
30751,-53.64523686009295,-27.67524353855839
30741,-53.64604044391132,-27.675787561846448
792851,-53.72466802830684,-27.684611135095736
792841,-53.724686706326395,-27.684601348673255
66461,-53.724654324437495,-27.684619226296206
66441,-53.72633807474233,-27.68457785568347
793981,-53.59005890109739,-27.645607225892718
27241,-53.67319531840917,-27.654720077769355
796401,-53.70858531995651,-27.69425948828473
610711,-53.595723160495425,-27.64791331514732
797071,-53.6509615935027,-27.676494971265868
797061,-53.65098278872466,-27.67649600009031
48501,-53.65093879389019,-27.676493847113306
799351,-53.58437396988279,-27.6633554193171
640631,-53.584371619054934,-27.663331733872383
799921,-53.555354859239344,-27.887662952583128
799911,-53.553356312943436,-27.886076196858937
799901,-53.554075158141984,-27.8866551102451
799891,-53.554763443478066,-27.887193254664908
799881,-53.55533880094487,-27.88765327228066
313521,-53.63204671768182,-27.71454395244143
313511,-53.631924732740174,-27.715537961407733
313471,-53.63160308841174,-27.717763548748735
10441,-53.639507667844555,-27.717630983283186
10391,-53.632327701861925,-27.714224623867267
10381,-53.63160308841174,-27.717763548748735
10372,-53.63179461253128,-27.71645168159978
800511,-53.629351920754516,-27.71535658613749
800501,-53.62874062817741,-27.715814931913542
800491,-53.62812571582907,-27.716313599692853
800481,-53.62749059661371,-27.716787902139913
800471,-53.626866724319825,-27.717313757324007
800461,-53.6262626020374,-27.71785427505472
800451,-53.625660683094,-27.71787700721808
800441,-53.6249261267393,-27.717546947933272
800431,-53.62414686508572,-27.717187643594855
800411,-53.622715707363966,-27.716551929028242
800401,-53.62229716378306,-27.7165328067436
