hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,407.4355389376193,-565.8829042908994,52.743959084536186,-98.05038543541335
1,393.7264564955374,-572.2368211405498,52.77884821843637,-98.1577813407519
2,384.72435926326,-576.4747789085909,52.81717435317949,-98.24497073897928
3,381.74790983537883,-578.055110637805,52.86799926721696,-98.32057369400752
4,381.66468065104317,-578.0649909215645,52.8631961444956,-98.31242349588837
5,546.0939690751371,-500.60017292294333,52.549331871158785,-96.29493834095969
6,676.4894309086077,-436.2634483333124,53.19688837507935,-91.88228297023376
7,904.3557833396646,-333.44366049206894,55.43428914212638,-88.78409498527535
8,1034.075233409502,-279.24821249351123,58.33582549477096,-88.07389986817115
9,974.4592407272798,-307.66968945104344,59.47366150210809,-87.81686349095277
10,835.6688168087011,-369.17446192601415,61.323180570178806,-85.65724623124862
11,857.8310324815671,-358.2843340877336,62.85403151962456,-83.5369033580924
12,765.7128225499687,-399.06575477694395,62.356044461755495,-83.9971293669516
13,808.8566743781264,-379.6409878270184,62.960123216341586,-83.22494113564292
14,675.7248894324051,-439.5997605942314,61.68540534630165,-85.01754204903668
15,616.0644012593601,-466.8767808070514,60.685019739654216,-86.50384888663912
16,642.6963666616876,-456.26485802313476,57.74860480574119,-90.15235674613221
17,767.5073341891334,-398.25265021468107,55.13327437869922,-91.33022986657897
18,848.1014505293521,-357.63103078881966,54.51912231839823,-89.23111415267462
19,720.4841485993204,-417.95551948522046,53.24857912224355,-92.709371647244
20,564.5962073502749,-491.8104268749053,52.570601282537034,-95.95930441325079
21,479.7671933237824,-531.9940548543975,52.581804061031676,-97.2876397375724
22,474.3102426437644,-534.889901772857,52.64064397008454,-97.4711802959611
23,456.0738193358553,-543.3892898294507,52.66305999822597,-97.65851357918346
