hour,totalDeltaActiveEnergyKWh,totalDeltaReactiveEnergyKvarh,totalDeltaActiveLossesKWh,totalDeltaReactiveLossesKvarh
0,341.53372724065343,23.332032610802422,20.882942488727092,-110.23135414143111
1,329.0272683345254,17.927239741444907,20.790748402400183,-110.39396154604424
2,320.81031435147645,14.357854087435738,20.728638926726923,-110.51801528474833
3,318.08040313587554,13.124421950143333,20.699833033203664,-110.60754369892656
4,318.00701410195626,13.100659622409166,20.70133944800103,-110.59960388853946
5,468.12563637880385,78.41876020772204,22.133089241238757,-107.98446327271391
6,582.5118806007383,129.76678267353446,24.271484269789916,-103.59401322192423
7,784.8894735296701,216.16454318264726,27.477819959344213,-100.06656566129357
8,897.9864791117378,262.6036130123703,29.904465509708682,-99.09875697412822
9,833.3957055324818,235.3601630464528,29.892173905617433,-99.16716848096976
10,692.046154385365,178.07439415528322,30.223626221360302,-97.55287414314019
11,708.1159993139024,186.14445463458867,31.61787607410692,-95.5157230660002
12,621.319455410491,150.08004004600278,30.71868619626399,-96.10291267919867
13,660.6558127421076,166.8387156448348,31.452334276422796,-95.29741898895006
14,538.6179797535226,115.0975376101914,29.61503206428867,-97.26368693788251
15,485.6422019144849,92.01482738558155,28.444479712333266,-98.81080777116848
16,519.7436179084879,103.66496329814738,26.341975862049935,-102.18119920940998
17,649.3079886623624,157.36869022761044,25.695582019807784,-102.90574220453955
18,739.0670343175447,197.21228178456175,26.63301633679424,-100.56679186752255
19,627.420310493902,148.23890271490538,24.474564904390693,-104.02579203153479
20,485.02444264004583,85.82404806669803,22.345200559884777,-107.60038457240246
21,407.5528550401826,51.98191895189997,21.460292299963083,-109.19260379296914
22,402.54478848958144,49.69567991836897,21.387814980869326,-109.39242696898108
23,385.9027662916782,42.488577301578665,21.2360181943276,-109.64793041189381
