Categoria;Métrica;Ano1;Ano2;Ano3;Unidade
Caso Base;Energia fornecida/dia;13117.3;14756.6;16394.7;kWh/dia
Caso Base;Perdas totais/dia;609.1;637.0;668.7;kWh/dia
Caso Base;Perdas (%);4.64;4.32;4.08;%
Caso Base;Faturamento/mês;59028;66000;73200;USD
Caso Base;Compensação PRODIST/mês;944;1050;1100;USD
Caso Base;trf_6_4910a carregamento máx;88.5;97.1;105.7;%
Caso Base;trf_11_305a carregamento máx;80.7;80.6;80.5;%
Caso Base;Linhas sobrecarregadas;0;0;0;qtd
Caso Base;Trafos sobrecarregados;0;0;1;qtd
Caso Base;Violações tensão MT;0;0;0;%
Caso Base;Violações tensão BT (faixa precária);0;0;0;qtd
Caso Base;Tensão mínima MT;0.981;0.978;0.975;pu
Caso Base;Tensão mínima BT;0.9406;0.934;0.9274;pu
Caso Base;FP global;0.982;0.981;0.98;adim
Caso Base;GD geração/dia;3264.5;3241.6;3218.7;kWh/dia
Caso Base;Participação GD no consumo;22.2;21.8;21.4;%
Alternativas VPL;Ajuste de tap — trf_6_4910a + trf_11_305a;1283;;;USD
Alternativas VPL;Ajuste FP 0,92→0,95;20;;;USD
Alternativas VPL;Recondutoramento smt_29422 — 4/0 CA;-914;;;USD
Alternativas VPL;Novo trafo 30 kVA paralelo;-2674;;;USD
Alternativas VPL;Novo trafo 45 kVA paralelo;-3359;;;USD
Alternativas VPL;Regulador de tensão;-6207;;;USD
Alternativas VPL;Capacitor automatico 1200 kvar (barra 9051);-8008;;;USD
Alternativas VPL;Capacitor fixo 600 kvar (barra 9051);-27727;;;USD
Alternativa Tap;trf_6_4910a carregamento c/tap;85.5;93.8;102.1;%
Alternativa Tap;trf_11_305a carregamento c/tap;80.7;80.6;80.5;%
Alternativa Tap;Benefício mensal;970;760;796;USD/mês
Alternativa Tap;CAPEX;1500;;;USD
Alternativa Tap;TIR;54;;;%
Alternativa Tap;Payback;2;;;anos
GD Fotovoltaica;Unidades instaladas;23;23;23;qtd
GD Fotovoltaica;Capacidade instalada;521;521;521;kW
GD Fotovoltaica;Redução de perdas vs sem GD;42.16;41.8;41.4;kWh/dia
GD Fotovoltaica;Valor para a rede;538;534;530;USD/ano
GD Fotovoltaica;Horas fluxo reverso;0;0;0;h/dia
Monte Carlo;P10 ano de sobrecarga;2;;;ano
Monte Carlo;P50 ano de sobrecarga (mediana);3;;;ano
Monte Carlo;P90 ano de sobrecarga;4;;;ano
Monte Carlo;Probabilidade sobrecarga até Ano 15;100;;;%
Longo Prazo;Trafos com alerta em 15 anos;5;;;qtd
Longo Prazo;trf_6_3509a entra em sobrecarga;10;;;ano
Longo Prazo;Break-even remanejamento (c/risco);6;;;ano
Longo Prazo;N-1 smt_31408 barramentos afetados;83;;;qtd
Longo Prazo;N-1 smt_31408 trafos afetados;6;;;qtd
